Fecha,Hora,Precio_COP_kWh
2023-02-12,8,553.58
2023-02-12,9,583.58
2023-02-12,10,583.58
2023-02-12,11,613.58
2023-02-12,12,773.58
2023-02-12,13,773.58
2023-02-12,14,613.58
2023-02-12,15,613.58
2023-02-12,16,583.58
2023-02-12,17,583.58
2023-02-12,18,583.58
2023-02-12,19,773.58
2023-02-12,20,838.58
2023-02-12,21,773.58
2023-02-12,22,583.58
2023-02-12,23,583.58
2023-02-12,24,553.58
2023-02-13,1,540.36
2023-02-13,2,540.36
2023-02-13,3,540.36
2023-02-13,4,540.36
2023-02-13,5,530.46
2023-02-13,6,530.46
2023-02-13,7,489.46
2023-02-13,8,479.46
2023-02-13,9,530.46
2023-02-13,10,540.36
2023-02-13,11,540.36
2023-02-13,12,580.46
2023-02-13,13,580.46
2023-02-13,14,580.46
2023-02-13,15,580.46
2023-02-13,16,580.46
2023-02-13,17,580.46
2023-02-13,18,580.46
2023-02-13,19,625.46
2023-02-13,20,775.46
2023-02-13,21,770.46
2023-02-13,22,625.46
2023-02-13,23,580.46
2023-02-13,24,540.36
2023-02-14,1,519.3
2023-02-14,2,519.3
2023-02-14,3,519.3
2023-02-14,4,519.3
2023-02-14,5,519.3
2023-02-14,6,569.3
2023-02-14,7,574.3
2023-02-14,8,574.3
2023-02-14,9,574.3
2023-02-14,10,574.3
2023-02-14,11,599.3
2023-02-14,12,599.3
2023-02-14,13,599.3
