muestras,horas,muestras_en_horas,horas_mayoria,horas_quedan_lt23,horas_quedan_0,horas_incompletas,horas_completas,horas_adyacentes_vacia,energia_kWh,delta_kWh_quitar_muestras,inst,medidor,med,bandera
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_4q
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_5q
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_8q
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_10q
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_2q_o_2pct
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_2q_o_5pct
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_3q_o_2pct
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_3q_o_5pct
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,S_3q_o_10pct
4,2,60,0,0,0,0,2,0,2.821266666666667,0.013060280970625726,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,G_final_V10_f0.2_S3q
4,2,60,0,0,0,0,2,0,2.821266666666667,0.013060280970625726,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,G_final_V10_f0.2_S5q
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 2 - HUDN - electricMeter,HUDN 2,G_solo_S3q_V10
16243,1051,31467,520,693,168,19,1032,4,1923.5008325374288,-290.03710477037345,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,V_ntc_-10+5
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,V_pm10
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,V_pm8
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,V_pm15
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,V_pm20
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,V_pm50
5,3,90,0,0,0,0,3,0,4.927133333333334,0.0030314176245214153,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,f_59.8-60.2
68,59,1769,0,0,0,1,58,0,110.14400689655172,-0.013447832512315294,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,f_59.9-60.1
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,f_59.7-60.3
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,f_59.5-60.5
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,f_59-61
184,144,4280,0,2,0,8,136,1,286.82725048348846,0.06541302733698129,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_1.5q
155,122,3631,0,1,0,6,116,0,238.44360680532748,0.30066622738691695,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_2q
3,3,90,0,0,0,0,3,0,6.781733333333333,0.024887356321839693,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_3q
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_4q
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_5q
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_8q
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_10q
155,122,3631,0,1,0,6,116,0,238.44360680532748,0.30066622738691695,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_2q_o_2pct
155,122,3631,0,1,0,6,116,0,238.44360680532748,0.30066622738691695,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_2q_o_5pct
3,3,90,0,0,0,0,3,0,6.781733333333333,0.024887356321839693,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_3q_o_2pct
3,3,90,0,0,0,0,3,0,6.781733333333333,0.024887356321839693,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_3q_o_5pct
3,3,90,0,0,0,0,3,0,6.781733333333333,0.024887356321839693,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,S_3q_o_10pct
8,6,180,0,0,0,0,6,0,11.708866666666665,0.02791877394636111,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,G_final_V10_f0.2_S3q
5,3,90,0,0,0,0,3,0,4.927133333333334,0.0030314176245214153,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,G_final_V10_f0.2_S5q
3,3,90,0,0,0,0,3,0,6.781733333333333,0.024887356321839693,HUDN,Medidor 3 - HUDN - electricMeter,HUDN 3,G_solo_S3q_V10
18948,1174,35157,634,778,228,18,1156,5,3143.7589935936444,-548.1492039795958,HUDN,Medidor 4 - HUDN - electricMeter,HUDN 4,V_ntc_-10+5
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 4 - HUDN - electricMeter,HUDN 4,V_pm10
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 4 - HUDN - electricMeter,HUDN 4,V_pm8
0,0,0,0,0,0,0,0,0,0.0,0.0,HUDN,Medidor 4 - HUDN - electricMeter,HUDN 4,V_pm15
