k,J,I,uniforme,max_exc,vol_cen,ef_aco,efvol_aco,efemp_aco,vol_aco,ef_alt,efvol_alt,efemp_alt,vol_alt,exceso_aco,exceso_alt
5168,1,4,False,859.0430216666666,1.2352333333333334,92.06973145695096,100.0,92.06973145695096,1.2352333333333334,91.93478757413637,99.99999999999493,91.93478757414104,1.2352333333332706,0.0,0.0
5217,4,1,True,6785.4167143333325,9.757433333333331,100.0,100.0,100.00000000000004,9.757433333333331,99.99999999999925,99.99999999999925,100.0,9.75743333333326,0.0,0.0038965276482294
5318,2,3,False,937.763784,1.7331333333333334,90.94002546163624,100.00000000000074,90.94002546163556,1.733133333333346,90.87818758948444,99.9999999999994,90.87818758948498,1.733133333333323,6.348619474572105e-08,1.3611334281904422e-13
5320,2,3,False,231.59090500000008,0.4361000000000001,90.76915700313565,100.00000000000004,90.76915700313565,0.4361000000000002,90.70556104467248,100.00000000000053,90.705561044672,0.4361000000000024,2.795341735861712e-11,1.887379141862766e-15
5360,4,1,True,379.73340203999976,0.6493966666666662,99.99999999991974,99.99999999991974,100.0,0.649396666666145,99.99999999996014,99.99999999996014,100.0,0.6493966666664074,0.0,0.0
5430,1,4,False,75.368422,0.1447666666666666,89.40692668738592,100.0,89.40692668738592,0.1447666666666666,89.40839972544892,99.9999999999993,89.40839972544954,0.1447666666666656,0.0,0.0
5551,2,3,False,2354.697263733334,3.6803333333333335,99.99995975922172,99.9999999999958,99.9999597592259,3.680333333333179,100.00803987205256,100.00000000000044,100.00803987205212,3.680333333333349,5.0674435536635094e-08,0.0025745885766703
5556,4,1,True,3701.5932906666662,5.986533333333334,100.0,100.0,100.00000000000004,5.986533333333333,99.99999999999936,99.99999999999936,100.00000000000004,5.986533333333296,0.0,0.0004697542113694
5651,4,1,True,1943.275985,2.843166666666667,100.0,100.0,100.00000000000004,2.843166666666667,99.99999999999991,99.99999999999991,100.00000000000004,2.8431666666666646,0.0,0.0
5680,1,4,False,7.268491266666793,0.0135933333333335,89.68631398490805,100.0,89.68631398490805,0.0135933333333335,89.68630554768099,99.99999999999984,89.68630554768113,0.0135933333333335,0.0,0.0
5726,3,2,False,2196.8888326666665,3.500683333333334,95.0681130225188,99.99999999999986,95.06811302251894,3.5006833333333285,95.07220698012355,100.00000000000033,95.07220698012324,3.5006833333333445,3.2588256315690955e-08,1.8207657603852567e-14
6035,4,1,True,2153.539185126858,3.6803085714285713,99.99999999999842,99.99999999999844,99.99999999999996,3.680308571428514,99.99999999893376,99.99999999893376,100.0,3.6803085713893298,0.0,0.0
6059,4,1,True,2183.423290726857,3.680308571428572,99.9999999999988,99.9999999999988,100.0,3.680308571428528,99.99999999997986,99.99999999997986,100.0,3.680308571427831,0.0,0.0
6062,4,1,True,2313.76002,3.9,99.99999999997516,99.99999999997512,100.00000000000004,3.8999999999990314,100.00000000000009,100.00000000000009,100.00000000000004,3.900000000000003,0.0,3.1086244689504387e-15
6103,2,3,False,2264.125547672956,4.5183861246219,100.00000063177283,100.0,100.00000063177283,4.5183861246219,99.99895003636368,100.0000000000032,99.99895003636048,4.518386124622045,2.056721857268684e-07,0.0002236621560713
6105,3,2,False,1411.3176164745555,2.7594092357330107,100.00000089829346,100.00000000000024,100.00000089829322,2.7594092357330173,100.00052130865905,100.00000000000328,100.00052130865578,2.7594092357331013,1.822875430601556e-07,0.0001057873661414
