k,J,I,forma,pos_media,pos_min,pos_max,pegados,n_precios,eficiencia,volumen,tajada_vendedor
1351,1,4,aggregate,74.82980460112509,70.88999706263482,76.1435163983157,0,4,94.82618014797198,0.9839988866075648,74.75818256220677
1351,1,4,matrix,74.82824017804323,70.97445110085803,76.22321676603376,0,4,94.83532649069676,0.9839988866075708,74.75148325314268
1448,2,3,aggregate,65.15643679045162,42.697099399593554,93.8571230051464,0,3,99.99999927648992,2.1762080297481075,51.874689342109946
1448,2,3,matrix,63.71443015926776,0.0002209744309838,99.97551590346244,2,3,100.0000021261993,2.1762080297480884,91.34206132691588
1503,3,2,aggregate,44.13067371776967,16.507956938944375,71.75339049659495,0,2,99.99999848893634,1.4741000000000235,23.706959422252734
1503,3,2,matrix,41.576609461980254,2.3193494602087494e-06,83.15321660461106,1,2,100.00000267956554,1.4741000000000022,72.31761226898892
1689,4,1,aggregate,20.463796602286703,20.463796602286703,20.463796602286703,0,1,99.99999999999996,0.746333333333334,20.463796602286703
1689,4,1,matrix,20.46381933309094,20.46381933309094,20.46381933309094,0,1,99.999999997397,0.746333333313907,20.463819333090942
1768,3,2,aggregate,42.64841559581682,17.180959472864625,68.11587171876903,0,2,100.00000206515698,1.321233333333399,21.499355602808507
1768,3,2,matrix,45.236477175681785,3.003362792827706e-06,90.47295134800078,1,2,99.9999969628286,1.321233333333317,82.80248126383842
1831,1,4,aggregate,75.16494962031905,71.12742957494491,76.51155706851898,0,4,95.84634940489552,0.8906180385357594,75.08995111039873
1831,1,4,matrix,75.16588225385513,71.0781425035139,76.65518816597529,0,4,95.84059616129126,0.8906180385357593,75.09542726168036
1976,2,3,aggregate,61.26689626088252,37.53899506253784,90.58584260806025,0,3,100.00000000000296,2.9447332589967528,48.26959508754023
1976,2,3,matrix,61.266896260879975,3.259843996425283e-05,99.997804339559,2,3,100.0000000000009,2.944733258996692,87.09920503206266
2073,4,1,aggregate,19.584547019643058,19.584547019643058,19.584547019643058,0,1,100.0,0.0127666666666668,19.58454701964306
2073,4,1,matrix,19.584500776599477,19.584500776599477,19.584500776599477,0,1,99.99999999999562,0.0127666666666662,19.58450077659948
2074,4,1,aggregate,19.59959940390795,19.59959940390795,19.59959940390795,0,1,99.99999999994442,0.024466666666653,19.59959940390795
2074,4,1,matrix,19.599653202882955,19.599653202882955,19.599653202882955,0,1,99.99999999999994,0.0244666666666666,19.599653202882955
2096,4,1,aggregate,19.40138370854681,19.40138370854681,19.40138370854681,0,1,99.99999999999883,0.367133333333329,19.40138370854681
2096,4,1,matrix,19.401437904867773,19.401437904867773,19.401437904867773,0,1,100.00000000005416,0.3671333333335321,19.40143790486777
2120,3,2,aggregate,46.2876428098878,46.058022509998295,46.5172631097773,0,2,40.91651687631028,0.3331333333333366,-31.1012293165032
2120,3,2,matrix,48.54040719020372,21.800954710574867,75.27985966983256,0,2,40.91649698736536,0.3331333333333314,-5.758666475543226
2266,3,2,aggregate,41.16607921557181,17.834303137179514,64.49785529396411,0,2,58.02363808030123,4.831236070071983,-33.3002327915212
2266,3,2,matrix,41.1660792174837,1.6713547367549158e-10,82.33215843480026,1,2,58.0236380803021,4.831236070072027,54.89385903995463
2407,3,2,aggregate,46.31026315774466,40.43973371714068,52.18079259834864,0,2,99.99999778620182,0.3796999999999996,44.81551409452412
2407,3,2,matrix,45.02811851005463,35.93911928267506,54.11711773743421,0,2,100.00000839507187,0.3797000000000034,47.342362535641215
2464,2,3,aggregate,67.19305387439222,46.295494709116376,100.0,1,3,94.4340278858762,3.555067627092724,56.937803938510605
2464,2,3,matrix,62.52663813742111,1.7439923095185068e-10,100.0,2,3,94.89827640772243,3.5550676270927752,93.7873914834374
2488,3,2,aggregate,41.49929995385453,11.739934481096048,71.258665426613,0,2,99.99995897129898,1.8726185317616724,20.021476791552026
2488,3,2,matrix,48.406138081001615,1.4585550328561556e-10,96.81227616185738,1,2,97.74063624819485,1.8726185317616744,96.81227615921436
2579,4,1,aggregate,19.12091352916139,19.12091352916139,19.12091352916139,0,1,100.00000000054816,0.0496666666669389,19.120913529161392
2579,4,1,matrix,19.120893335692937,19.120893335692937,19.120893335692937,0,1,100.00000000000963,0.0496666666666715,19.120893335692937
2601,3,2,aggregate,40.74393934743701,39.41789397969615,42.06998471517788,0,2,52.829302413307786,2.8260338483628544,-12.216505987570558
2601,3,2,matrix,40.74393934745119,0.7564902486311718,80.7313884462712,1,2,52.82930241306724,2.826033848362832,-10.616138406289329
2625,2,3,aggregate,68.59731492543145,60.848371477501736,72.47252369939206,0,3,93.48002053537584,0.928398279751942,68.13316428793289
2625,2,3,matrix,68.62483148815491,60.416250870382,73.55523049922795,0,3,93.35119883169423,0.928398279751936,68.25183222988906
2626,4,1,aggregate,20.59204884951068,20.59204884951068,20.59204884951068,0,1,61.93319328545201,0.4509999999999995,-28.21549630824875
2626,4,1,matrix,20.59223155495639,20.59223155495639,20.59223155495639,0,1,61.933193290603406,0.4509999999999995,-28.21520129350644
2816,4,1,aggregate,21.912235411659427,21.912235411659427,21.912235411659427,0,1,61.85217034311874,0.95146,-26.249029185486155
2816,4,1,matrix,21.91206172585447,21.91206172585447,21.91206172585447,0,1,61.85217035654346,0.95146,-26.249309966023628
2825,1,4,aggregate,74.99994799173547,74.99989036142622,75.00001672252594,0,4,100.00000000000004,0.5872999999999997,74.99994798807367
2825,1,4,matrix,74.99914059248715,74.9986349356756,74.99956458110849,0,4,99.99999999999876,0.5872999999999924,74.99914062148119
2866,3,2,aggregate,50.00000000076229,44.07923276512321,55.92076723640137,0,2,93.0358996814276,2.179116666666664,26.64967000161033
